SYMBOL,COMPANY_NAME,EXCHANGE,YF_TICKER
21STCENMGM,21ST CENTURY MANAGEMENT SERVICES LIMITED,NSE,21STCENMGM.NS
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,NSE,A2ZINFRA.NS
ACL,ANDHRA CEMENTS LIMITED,NSE,ACL.NS
AGSTRA,AGS TRANSACT TECHNOLOGIES LIMITED,NSE,AGSTRA.NS
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,NSE,ANSALAPI.NS
BLUECHIP,BLUE CHIP INDIA LIMITED,NSE,BLUECHIP.NS
DHARAN,DHARAN INFRA-EPC LIMITED,NSE,DHARAN.NS
EXCEL,EXCEL REALTY N INFRA LIMITED,NSE,EXCEL.NS
FEL,FUTURE ENTERPRISES LIMITED,NSE,FEL.NS
GVKPIL,GVK POWER & INFRASTRUCTURE LIMITED,NSE,GVKPIL.NS
IEL,INDIABULLS ENTERPRISES LIMITED,NSE,IEL.NS
ITTL,INNOVATIVE TYRES & TUBES LIMITED,NSE,ITTL.NS
KRISHIVAL,KRISHIVAL FOODS LIMITED,NSE,KRISHIVAL.NS
MANUGRAPH,MANUGRAPH INDIA LIMITED,NSE,MANUGRAPH.NS
MEP,MEP INFRASTRUCTURE DEVELOPERS LIMITED,NSE,MEP.NS
MVKAGRO,M.V.K. AGRO FOOD PRODUCT LIMITED,NSE,MVKAGRO.NS
NORBTEAEXP,NORBEN TEA & EXPORTS LIMITED,NSE,NORBTEAEXP.NS
ORTINGLOBE,ORTIN GLOBAL LIMITED,NSE,ORTINGLOBE.NS
OSELDEVICE,OSEL DEVICES LIMITED,NSE,OSELDEVICE.NS
PATTECH,PATTECH FITWELL TUBE COMPONENTS LIMITED,NSE,PATTECH.NS
POLYSIL,POLYSIL IRRIGATION SYSTEMS LIMITED,NSE,POLYSIL.NS
PPAP,PPAP AUTOMOTIVE LIMITED,NSE,PPAP.NS
PRAXIS,PRAXIS HOME RETAIL LIMITED,NSE,PRAXIS.NS
RAJRILTD,RAJ RAYON INDUSTRIES LIMITED,NSE,RAJRILTD.NS
RSSOFTWARE,R. S. SOFTWARE (INDIA) LIMITED,NSE,RSSOFTWARE.NS
SADHNANIQ,SADHANA NITROCHEM LIMITED,NSE,SADHNANIQ.NS
SANWARIA,SANWARIA CONSUMER LIMITED,NSE,SANWARIA.NS
SITINET,SITI NETWORKS LIMITED,NSE,SITINET.NS
SRPL,SHREE RAM PROTEINS LIMITED,NSE,SRPL.NS
TANKUP,TANKUP ENGINEERS LIMITED,NSE,TANKUP.NS
UMAEXPORTS,UMA EXPORTS LIMITED,NSE,UMAEXPORTS.NS
UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED,NSE,UNITEDPOLY.NS
VOLERCAR,VOLER CAR LIMITED,NSE,VOLERCAR.NS
WELINV,WELSPUN INVESTMENTS AND COMMERCIALS LIMITED,NSE,WELINV.NS
WINSOME,WINSOME YARNS LIMITED,NSE,WINSOME.NS
AAKASH,AAKASH EXPLORATION SERVICES LIMITED,NSE,AAKASH.NS
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LIMITED,NSE,AAREYDRUGS.NS
